Event Date,Number of Shows,Headliner,Promoter,Avg. Tickets Sold,Avg. Gross USD,Avg. Event Capacity,Avg. Capacity Sold,Ticket Price Min USD,Ticket Price Max USD,Ticket Price Avg. USD,Venue Type,Tickets Sold,Total Gross,Venue Address
1/31/2026,1,Slaughter To Prevail,Live Nation,2888,197061.15,4200.0,0.68,68.23,68.23,68.23,Arena,2888,197061.15,"K.B. Hallen, Frederiksberg, Denmark"
1/31/2026,1,Yandel,OCESA,9368,752668.05,9592.0,0.97,40.08,257.64,80.34,Theater ,9368,752668.05,"Auditorio Nacional, Mexico City, Mexico"
1/31/2026,1,Molotov,OCESA,16934,813658.89,16967.0,0.99,22.9,166.04,48.05,Arena,16934,813658.89,"Palacio de los Deportes, Mexico City, Mexico"
1/31/2026,1,Rascal Flatts,Live Nation,8956,677780.0,9734.0,0.92,24.75,164.75,75.68,Arena,8956,677780.0,"MVP Arena, Albany, United States"
1/31/2026,1,The Midnight,Live Nation,1668,100768.24,1668.0,1.0,60.41,60.41,60.41,Club,1668,100768.24,"Forum Melbourne, Melbourne, Australia"
1/31/2026,1,Get The Led Out,Live Nation,1410,51957.72,2758.0,0.51,19.5,19.5,36.85,Theater ,1410,51957.72,"Landmark Theatre, Syracuse, United States"
1/31/2026,1,Eagles,Live Nation,16380,4779068.5,16380.0,1.0,120.0,311.0,291.76,Arena,16380,4779068.5,"Sphere, Las Vegas, United States"
1/31/2026,1,Snow Strippers,Live Nation,1150,32300.0,1175.0,0.97,30.0,45.0,28.09,Club,1150,32300.0,"Brooklyn Bowl Nashville, Nashville, United States"
1/31/2026,1,Ewan McVicar,Live Nation / Gaiety Investments (MCD Productions),7011,497321.64,7195.0,0.97,70.89,70.89,70.93,Arena,7011,497321.64,"3Arena, Dublin, Ireland"
1/31/2026,2,TWICE,Live Nation,14398,1910281.85,14399.0,0.99,59.5,229.5,132.67,Arena,28797,3820563.7,"American Airlines Center, Dallas, United States"
1/31/2026,1,Zayn,Live Nation,5280,843408.0,5280.0,1.0,79.0,499.0,159.74,Theater ,5280,843408.0,"Dolby Live at Park MGM Las Vegas, Las Vegas, United States"
